Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim,Month/Year,Year
50070,29-10-2016,California,Los Angeles,1600 block of Century Boulevard,0,5,5,201610,2016
50065,30-10-2016,Maryland,Capitol Heights,6862 Walker Mill Rd,3,3,6,201610,2016
50067,30-10-2016,New York,Newburgh,119 First Street,2,5,7,201610,2016
50068,30-10-2016,Texas,San Antonio,2900 block of Aspen Meadow,0,5,5,201610,2016
50072,28-10-2016,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,6,201610,2016
50083,2015-10-2016,California,Los Angeles,2918 Rimpau Blvd,4,11,15,201610,2016
50077,23-10-2016,Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,5,6,201610,2016
50089,4-10-2016,Louisiana,New Orleans,3727 Ulloa Street,3,2,5,201610,2016
50086,9-10-2016,Michigan,Grand Rapids,1850 28th Street SE,1,8,9,201610,2016
50084,2014-10-2016,Illinois,Chicago,3300 block of W Maypole Ave,1,6,7,201610,2016
50076,25-10-2016,Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,5,201610,2016
50091,2-10-2016,Texas,San Antonio,2600 South Flores Street,1,4,5,201610,2016
50078,22-10-2016,California,Oakland,77th and Bancroft Avenues,0,7,7,201610,2016
50080,2017-10-2016,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,5,201610,2016
50081,2015-10-2016,Alabama,Mobile,1800 block of St Stephens Road,0,5,5,201610,2016
50082,2015-10-2016,Illinois,Rockford,7801 East State St,1,5,6,201610,2016
50061,2-11-2016,Arkansas,Little Rock,2111 Bragg Street,1,4,5,201611,2016
50027,30-11-2016,Maryland,Baltimore,2901 Garrison Blvd,2,4,6,201611,2016
50031,27-11-2016,Louisiana,New Orleans,100 block of Bourbon Street,1,9,10,201611,2016
50032,27-11-2016,Missouri,Kansas City,Gregory and Prospect,0,7,7,201611,2016
50033,26-11-2016,Illinois,Chicago,8800 block of S Exchange Ave,1,5,6,201611,2016
50035,24-11-2016,Kentucky,Louisville,4501 W Broadway,2,4,6,201611,2016
50038,22-11-2016,Florida,Clewiston,1068 Harlem Academy Ave,1,4,5,201611,2016
50040,2017-11-2016,Tennessee,Dyersburg,160 Longfellow,1,7,8,201611,2016
50041,13-11-2016,Florida,Jacksonville,5105 Cleveland Rd,3,2,5,201611,2016
50045,12-11-2016,California,Sacramento,8600 block of Ardith Drive,1,5,6,201611,2016
50047,12-11-2016,Connecticut,Bridgeport,2500 Park Avenue,0,5,5,201611,2016
50050,9-11-2016,Washington,Seattle,1524 3rd Ave,0,5,5,201611,2016
50055,5-11-2016,South Carolina,Myrtle Beach,803 Main St,0,5,5,201611,2016
50056,5-11-2016,California,Oakland,420 14th Street,0,8,8,201611,2016
