Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured
60280,15-Mar-17,Louisiana,Metairie,2508 Pasadena Ave,3,1
60281,10-Mar-17,Illinois,Chicago,123 E 51st St,2,2
60282,10-Mar-17,Louisiana,New Orleans (Gentilly),4200 block of Touro St,3,1
60283,7-Mar-17,Illinois,Chicago,W 76th St and S May St,0,4
60284,5-Mar-17,Georgia,Columbus,600 block of 32nd Street,0,4
60285,4-Mar-17,Kansas,Topeka,23rd and Bellview,1,4
60286,4-Mar-17,California,Sacramento,2500 block of 33rd St,0,4
60287,3-Mar-17,Pennsylvania,Philadelphia,7165 Germantown Ave,0,4
60288,3-Mar-17,California,Riverside,8300 block of Trey Ave,0,5
60289,28-Feb-17,Ohio,Cincinnati,1700 of Casey Dr,0,6
60290,27-Feb-17,Virginia,Newport News,11810 Fountain Way,0,4
60291,26-Feb-17,Indiana,Gary,1700 Grant St,1,4
60292,25-Feb-17,Ohio,Warren,1564 Niles Cortland Rd SE,2,3
60293,25-Feb-17,Florida,Jacksonville,3604 Moncrief Rd,1,4
60294,22-Feb-17,New York,Rochester,191 Genesee St,0,4
60295,21-Feb-17,Ohio,Cleveland,16700 Lorain Ave,0,4
60296,21-Feb-17,Mississippi,Toomsuba,Butts Road,4,0
60297,20-Feb-17,Ohio,Cleveland,1082 East 105th Street,0,5
60298,19-Feb-17,Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1,3
60299,18-Feb-17,Pennsylvania,Philadelphia,1 block of N Conestoga,0,4
60300,18-Feb-17,Indiana,South Bend,1000 block of Yukon St,1,3
60301,15-Feb-17,California,Salinas,30 Soledad Street,0,4
60302,15-Feb-17,Illinois,Chicago,3949 South Albany Avenue,3,2
60303,12-Feb-17,Missouri,Caruthersville,908 Truman Blvd,1,6
60304,12-Feb-17,New York,Newburgh,253 South William Street,1,3
60305,12-Feb-17,Florida,Greenville,Church Ave and Obadiah St,0,5
